vendor,category,default_ports,protocol,shodan_dorks,probe_paths,signature_markers,severity,auth_posture,auth_evidence,has_enumerator,supplementary_notes,sources
Milvus,uncategorized,9000;9091;19530,http,"port:19530 http.html:""milvus"" | port:9091 http.html:""milvus"" | port:9000 http.html:""milvus"" http.html:""backup""",/api/v1/collections;/api/v1/health,json:collection_names;json:is_healthy,high,unauth-on-default [OFF (root/Milvus)],ledger 47/47 unauth,yes,[tome] Vector DB; auth_default: none; MILVUS_SECURITY_AUTHORIZATIONENABLED defaults false; Attu UI co-located on port 8000,AI-LLM-Infrastructure-OSINT;aimap;tome
MinIO / Portainer,uncategorized,9000,HTTP,,,,,,,,[menlohunt/ports.go] Object storage / container mgmt; menlohunt risk tier: High; tags: minio/storage,menlohunt/ports.go
MLflow Tracking Server,uncategorized,5000,HTTP,,,,,,,,[tome] ML experiment tracking; auth_default: none; /api/2.0/experiments returns full list unauthenticated; artifact store URI leaks S3/GCS paths,tome
MSSQL,uncategorized,1433,TCP,,,,,,,,[menlohunt/ports.go] Database; menlohunt risk tier: High; tags: database/mssql,menlohunt/ports.go
MySQL / Cloud SQL,uncategorized,3306,TCP,,,,,,,,[menlohunt/ports.go] Database; menlohunt risk tier: High; tags: database/mysql,menlohunt/ports.go
OpenAI-compatible model server,uncategorized,,HTTP,,,,,,,,[tiptoe/probe.go] tiptoe catch-all: confirmPath=/v1/models; confirmHint=data; noAuth=true — covers vLLM/llama.cpp/NIM/TGI on any port,tiptoe/probe.go
OpenVINO Model Server (OVMS),uncategorized,8080;9000,HTTP/gRPC,,,,,,,,[tome] Embedding serving; auth_default: none; port 9000 = TF Serving gRPC/HTTP; GET /v1/config leaks all model names; co-located with FastAPI on port 8001,tome
Opik,uncategorized,80;443;5173;8080,http,,/;/api/v1/private/projects,body:Comet Opik;json:content;json:total,high,unauth-on-default,ledger 1/1 unauth,no,,aimap
PostgreSQL / Cloud SQL,uncategorized,5432,TCP,,,,,,,,[menlohunt/ports.go] Database; menlohunt risk tier: High; tags: database/postgres,menlohunt/ports.go
PromptLayer,uncategorized,80;443;3000,http,,/,body:PromptLayer;body:organizations-with-workspace-and-invites,high,mixed,,no,,aimap
Ray Dashboard,uncategorized,6006;8265,http,"port:8265 http.title:""Ray Dashboard""",/api/cluster_status;/api/version,json:cluster_status;json:ray_version,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
RDP,uncategorized,3389,TCP,,,,,,,,[scanner/main.go] Remote desktop; in scanner default port list,scanner/main.go
redge catalog-sync,uncategorized,8082,HTTP,,,,,,,,[menlohunt/ports.go] redge/menlorecast metrics; L7 firewall drops SYN-only — requires full HTTP GET for detection,menlohunt/ports.go
redge consul-template-aggregator,uncategorized,8086,HTTP,,,,,,,,[menlohunt/ports.go] redge/menlorecast/wireguard; L7 firewall drops SYN-only — requires full HTTP GET for detection,menlohunt/ports.go
scanner default port set,uncategorized,22;80;443;3306;3389;3567;5432;5984;8000;8080;8081;8123;9000;9042;9200;10000;27017,TCP/HTTP,,,,,,,,[scanner/main.go] Hardcoded default scan set — web + common data layers (MySQL/Postgres/RDP/Cassandra/ES/CouchDB); note 3567 (SuperTokens auth) included,scanner/main.go
Spark UI,uncategorized,4040,HTTP,,,,,,,,[menlohunt/ports.go] ML compute; menlohunt risk tier: Medium; tags: spark/ml,menlohunt/ports.go
SSH,uncategorized,22,TCP,,,,,,,,[menlohunt/ports.go] Remote access; menlohunt risk tier: Low; tags: ssh/remote-access,menlohunt/ports.go
SuperTokens,uncategorized,3567,HTTP,,,,,unauth-on-default,,,[scanner/main.go] Auth service; in scanner default port list — notable inclusion for AI/LLM stacks,scanner/main.go
Text Generation Inference,uncategorized,,HTTP,,,,,,,,[tiptoe/probe.go] tiptoe LLM signature: confirmPath=/info; confirmHint=model_id; noAuth=true,tiptoe/probe.go
Text Generation Inference (TGI),uncategorized,8080,HTTP,,,,,,,,[tome] LLM inference; auth_default: none; HF_TOKEN in K8s pod spec; /info leaks model_id unauthenticated,tome
AI TTS Server,Vector Databases,8080;10087,http,"port:10087 http.html:""tts""",/;/v1/audio/voices,body:audio/speech;json:endpoints;json:voices,medium,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Apache Solr,Vector Databases,80;443;8983;8984,http,,/solr/admin/info/system,body:solr-spec-version,critical,unauth-on-default,,no,,aimap
ArangoDB,Vector Databases,8529,,"port:8529 http.html:""ArangoDB""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Attu,Vector Databases,3000,,"port:3000 http.html:""Attu""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Cassandra,Vector Databases,,,"http.html:""cassandra""",,,,mixed [OFF (AllowAllAuthenticator)],,,,AI-LLM-Infrastructure-OSINT
ChromaDB,Vector Databases,8000;8100,http,"port:8000 http.html:""chroma"" | port:8000 http.html:""Chroma"" http.html:""/api/v1"" | port:8100 http.html:""chroma"" | port:8000 http.html:""chroma"" http.html:""backup""",/api/v1/collections;/api/v1/heartbeat;/api/v2/heartbeat,body:nanosecond heartbeat;json_array,high,unauth-on-default,ledger 73/73 unauth,yes,[tome] Vector DB; auth_default: none — all collections publicly readable without auth config; install: docker run -p 8000:8000 ghcr.io/chroma-core/chroma:latest,AI-LLM-Infrastructure-OSINT;aimap;tome
Dgraph,Vector Databases,,,"http.html:""dgraph""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Harbor,Vector Databases,80;443,,"http.html:""Harbor""",,,,,,,,AI-LLM-Infrastructure-OSINT
Kibana,Vector Databases,5601,HTTP,"port:5601 http.html:""kibana"" | port:5601 http.title:""Kibana"" | port:5601 http.html:""kibana"" http.html:""version""",,,,unauth-on-default,,,[menlohunt/ports.go] Log analytics; menlohunt risk tier: Medium; tags: kibana/observability,AI-LLM-Infrastructure-OSINT;menlohunt/ports.go
LanceDB,Vector Databases,,,"http.html:""LanceDB""",,,,,,,,AI-LLM-Infrastructure-OSINT
LocalAI,Vector Databases,8080,http,"http.html:""LocalAI"" port:8080",/models/available;/v1/models,body:localai;json:data;json:object,medium,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Marqo,Vector Databases,8882,,"port:8882 http.html:""marqo""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Meilisearch,Vector Databases,80;443;7700,http,,/health,"body:""status"":""available""",high,unauth-on-default [OFF (dev mode)],,no,,aimap
Memgraph,Vector Databases,,,"http.html:""memgraph""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
MongoDB,Vector Databases,27017,TCP,"port:27017 http.html:""mongodb""",,,,unauth-on-default,,,[menlohunt/ports.go] Document DB; menlohunt risk tier: Critical; tags: mongodb/database,AI-LLM-Infrastructure-OSINT;menlohunt/ports.go
Neo4j,Vector Databases,7474,,"port:7474 http.html:""neo4j""",,,,unauth-on-default [OFF (neo4j/neo4j forced reset)],,,,AI-LLM-Infrastructure-OSINT
OpenSearch,Vector Databases,5601;9200,,"port:9200 http.html:""opensearch""",,,,unauth-on-default [OFF (demo)],,,,AI-LLM-Infrastructure-OSINT
OpenSearch Dashboards,Vector Databases,5601,,"port:5601 http.html:""opensearch""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
pgAdmin,Vector Databases,,,"http.html:""pgAdmin""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
pgvector,Vector Databases,5432,,"port:5432 http.html:""pgvector""",,,,trust-network-only,,,,AI-LLM-Infrastructure-OSINT
PostgreSQL,Vector Databases,5432,,"port:5432 http.html:""postgresql""",,,,trust-network-only,,,,AI-LLM-Infrastructure-OSINT
Qdrant,Vector Databases,6333;6334,http,"port:6333 http.html:""qdrant"" | port:6333 ""Qdrant"" | port:6333 http.html:""/collections"" | port:6333 http.html:""snapshots""",/collections,json:result,high,unauth-on-default,ledger 5/5 unauth,yes,[tome] Vector DB; auth_default: none; /dashboard accessible without creds even when REST API key configured; port 6334 = gRPC,AI-LLM-Infrastructure-OSINT;aimap;tome
Redis,Vector Databases,6379;6380,TCP,"port:6379 http.html:""redis""",,,,unauth-on-default,,,[menlohunt/ports.go] Cache/RCE surface; menlohunt risk tier: Critical; tags: redis/rce,AI-LLM-Infrastructure-OSINT;menlohunt/ports.go
SGLang,Vector Databases,8889;30000,http,"http.html:""sglang""",/;/get_model_info;/v1/models,body:sglang;body:sglang is running;json:data;json:model_path,high,unauth-on-default,,yes,[tome] LLM inference; auth_default: none; /get_model_info returns SGLang-specific fields; RadixAttention timing side-channel,AI-LLM-Infrastructure-OSINT;aimap;tome
Supabase,Vector Databases,,,"http.html:""Supabase""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
SurrealDB,Vector Databases,,,"http.html:""SurrealDB""",,,,unauth-on-default [OFF (pre-2.x)],,,,AI-LLM-Infrastructure-OSINT
text-generation-webui,Vector Databases,7860,http,,/,body:gradio;body:text-generation,medium,unauth-on-default,,no,,aimap
Typesense,Vector Databases,80;443;8108,http,"http.html:""typesense""",/health,"body:""ok"":true",medium,auth-on-default [ON (required)],,no,,AI-LLM-Infrastructure-OSINT;aimap
Vespa,Vector Databases,8080;19071,http,"port:8080 http.html:""vespa"" | http.html:""\""coverage\"""" http.html:""\""documents\"""" http.html:""\""degraded\"""" port:8080 | http.html:""/document/v1/"" http.html:""pathId""",/state/v1,body:config-server,medium,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Weaviate,Vector Databases,8080;8443;50051,http,"port:8080 http.html:""weaviate"" | port:8080 http.html:""/v1/.well-known/openid-configuration"" | port:50051 http.html:""weaviate"" | port:8080 http.html:""weaviate"" http.html:""backup""",/v1/meta,json:modules;json:version,high,unauth-on-default [OFF (anon=true)],ledger 25/25 unauth,yes,[tome] Vector DB; auth_default: none; GraphQL introspection enabled by default — schema fully enumerable; port 50051 = gRPC without TLS,AI-LLM-Infrastructure-OSINT;aimap;tome
Zilliz,Vector Databases,,,"http.html:""Zilliz""",,,,,,,,AI-LLM-Infrastructure-OSINT
AllTalk TTS,Voice / Audio AI,7851;7852,,"port:7851 http.html:""alltalk""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Applio,Voice / Audio AI,,,"http.html:""applio""",,,,,,,,AI-LLM-Infrastructure-OSINT
AudioCraft,Voice / Audio AI,,,"http.html:""audiocraft""",,,,,,,,AI-LLM-Infrastructure-OSINT
Chatterbox TTS API,Voice / Audio AI,4123;8000,http,"port:8000 http.html:""chatterbox""",/api/model-info;/config;/docs;/get_predefined_voices;/health,body:Chatterbox;body:chatterbox;body:swagger;body:voice;json:engine,high,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
ChatTTS,Voice / Audio AI,7860;8000;9966,http,"http.html:""chattts""",/,body:2noise;body:ChatTTS,medium,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Coqui XTTS,Voice / Audio AI,80;443;5002;8000;8020;8040,http,,/;/api/tts/speakers,body:<title>xtts;body:XTTS;body:coqui;body:speaker;body:tts-form,medium,unauth-on-default,,yes,,aimap
Deepgram,Voice / Audio AI,8080;9991,,"port:8080 http.html:""deepgram""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
Deepgram Self-Hosted,Voice / Audio AI,8080,http,,/v1/status,json:active_batch_requests;json:system_health,critical,mixed,,yes,,aimap
F5-TTS,Voice / Audio AI,7860;8000,http,"http.html:""f5-tts""",/,body:F5-TTS;body:swivid/f5-tts,medium,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
faster-whisper,Voice / Audio AI,8080,,"port:8080 http.html:""faster-whisper""",,,,unauth-on-default,ledger 4/4 unauth,,,AI-LLM-Infrastructure-OSINT
GPT-SoVITS,Voice / Audio AI,9880,,"port:9880 http.html:""sovits""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Kokoro TTS,Voice / Audio AI,8880,,"port:8880 http.html:""kokoro""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Kokoro-FastAPI,Voice / Audio AI,8880,http,,/debug/system;/docs;/v1/audio/voices,"body:""id"";body:""name"";body:Kokoro;body:swagger;json:cpu_percent",high,unauth-on-default,,yes,,aimap
LiveKit,Voice / Audio AI,,,"http.html:""livekit""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
LiveKit Agents,Voice / Audio AI,80;443;3000;3002;7880;8080,http,,/,body:_next/static;body:livekit-agents;body:livekit-meet-home;body:livekit-server,medium,mixed,,yes,,aimap
Mozilla TTS,Voice / Audio AI,5002,,"port:5002 http.html:""mozilla"" http.html:""tts""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
MusicGen,Voice / Audio AI,,,"http.html:""musicgen""",,,,,,,,AI-LLM-Infrastructure-OSINT
NeMo,Voice / Audio AI,,,"http.html:""nemo"" http.html:""asr""",,,,,,,,AI-LLM-Infrastructure-OSINT
NVIDIA NIM ASR,Voice / Audio AI,9000;50051,,"port:9000 http.html:""nim"" http.html:""asr""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
OpenVoice,Voice / Audio AI,7860;8000,http,"http.html:""openvoice""",/,body:OpenVoice;body:myshell,high,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Orpheus-FastAPI,Voice / Audio AI,8899,http,"port:8899 http.html:""orpheus""",/docs;/v1/audio/speech,body:Orpheus;body:swagger;status:405,medium,mixed,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Pipecat,Voice / Audio AI,7860,,"port:7860 http.html:""pipecat""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Pipecat Voice Agent,Voice / Audio AI,80;443;7860;8000;8080,http,,/;/client/;/health,body:<title>pipecat;body:assets/index-;body:pipecat,high,unauth-on-default,,yes,,aimap
Piper TTS,Voice / Audio AI,5000;8080;10200,http,,/,body:piper;body:tts,low,unauth-on-default,,yes,,aimap
Pyannote,Voice / Audio AI,,,"http.html:""pyannote""",,,,,,,,AI-LLM-Infrastructure-OSINT
Retell AI,Voice / Audio AI,,,"http.html:""retell""",,,,,,,,AI-LLM-Infrastructure-OSINT
RVC,Voice / Audio AI,7865,,"port:7865 http.html:""rvc""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
RVC Voice Cloning WebUI,Voice / Audio AI,80;443;7860;7865;7897;8055,http,,/,"body:Applio;body:GPT-SoVITS;body:Retrieval-based-Voice-Conversion;body:content=""RVC WebUI"";body:gradio_config",high,unauth-on-default,,yes,,aimap
so-vits-svc,Voice / Audio AI,,,"http.html:""so-vits-svc""",,,,,,,,AI-LLM-Infrastructure-OSINT
SpeechBrain,Voice / Audio AI,,,"http.html:""speechbrain""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
StyleTTS2,Voice / Audio AI,,,"http.html:""styletts2""",,,,,,,,AI-LLM-Infrastructure-OSINT
Tortoise TTS,Voice / Audio AI,,,"http.html:""tortoise""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Vocode,Voice / Audio AI,,,"http.html:""vocode""",,,,,,,,AI-LLM-Infrastructure-OSINT
Vocode Voice Agent,Voice / Audio AI,3000;7860;8000,http,,/,body:transcriber;body:vocode,high,unauth-on-default,,yes,,aimap
Vosk,Voice / Audio AI,,,"http.html:""vosk""",,,,,,,,AI-LLM-Infrastructure-OSINT
Whisper ASR,Voice / Audio AI,80;443;7860;8000;8080;9000,http,,/;/docs;/inference;/openapi.json,body:/asr;body:openai-whisper-asr-webservice;body:whisper asr webservice;body:whisper.cpp;status:400,medium,unauth-on-default,,yes,,aimap
whisper.cpp,Voice / Audio AI,8080,,"port:8080 http.html:""whisper.cpp""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
WhisperLive,Voice / Audio AI,8000;9090,http,"port:9090 http.html:""whisperlive""",/;/docs,body:WhisperLive;body:nearly-live implementation;body:swagger,high,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
WhisperX,Voice / Audio AI,,,"http.html:""whisperx""",,,,,,,,AI-LLM-Infrastructure-OSINT
Apache DolphinScheduler,Workflow Orchestration,12345,http,"port:12345 http.html:""dolphinscheduler""",/dolphinscheduler/;/dolphinscheduler/ui/,body:/dolphinscheduler/ui/#/login;body:dolphinscheduler,critical,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Argo Workflows,Workflow Orchestration,80;443;2746;8080;8443,http,"port:2746 http.html:""argo"" | ssl:""Argo Workflows""",/api/v1/info;/api/v1/userinfo;/api/v1/version,body:compiler;body:gitTreeState;body:links;json:gitTag;json:managedNamespace;json:serviceAccountName,critical,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Argo Workflows (auth-enforced),Workflow Orchestration,80;443;2746;8080;8443,http,,/,body:favicon-32x32.png;body:noindex;hdr:X-Ratelimit-Limit,info,auth-on-default,,yes,,aimap
Dagster,Workflow Orchestration,3000,http,"http.html:""dagster""",/graphql;/server_info,body:DagsterRunStatus;json:dagster_webserver_version,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Flyte,Workflow Orchestration,8088;30080,,"port:30080 http.html:""flyte""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Flyte Console,Workflow Orchestration,8088;30080,http,,/api/v1/projects;/api/v1/version,json:controlPlaneVersion;json:projects,high,unauth-on-default,,no,,aimap
Hatchet,Workflow Orchestration,8080;8733,http,,/api/v1/meta;/healthz,body:hatchet,high,unauth-on-default,,no,,aimap
Kestra,Workflow Orchestration,8080,http,,/api/v1/flows;/api/v1/flows/distinct-namespaces,body:Kestra;body:namespace;body:taskRunList;json:results,high,unauth-on-default,,no,,aimap
KServe,Workflow Orchestration,8080,HTTP,"http.html:""kserve""",,,,mixed,,,[tome] Inference serving on K8s; auth_default: none; inherits runtime auth defaults (vLLM/TGI = none); fingerprint: InferenceService in response,AI-LLM-Infrastructure-OSINT;tome
Mage.ai,Workflow Orchestration,6789,http,"port:6789 http.html:""mage""",/api/kernels;/api/pipelines,json:kernels;json:pipelines,critical,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Netflix Conductor,Workflow Orchestration,8080,http,,/api/metadata/workflow;/health,body:conductor;body:ownerApp;json:results;json:status,high,unauth-on-default,,no,,aimap
Restate,Workflow Orchestration,8080;9070,http,,/deployments;/services,json:deployments;json:services,high,unauth-on-default,,no,,aimap
Temporal,Workflow Orchestration,7243;8080,,"port:7243 http.html:""temporal"" | port:8080 http.html:""temporal""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Windmill,Workflow Orchestration,80;443;8000,http,,/;/api/health,body:windmill;json:db;json:worker_count,critical,mixed,,no,,aimap
ZenML,Workflow Orchestration,8237,http,,/api/v1/info;/health,body:zenml;json:version,high,mixed,,no,,aimap
